日期,商品名称,订单量,订单金额
4/8/2026,Pro畅聊包,50,2259.5
4/8/2026,续费订阅,496,12115.33
4/8/2026,折扣订阅,1,13.99
4/8/2026,成人认证,17,16.83
4/7/2026,购买消息扩容,212,3918.94
4/7/2026,升级订阅,130,4017.03
4/7/2026,购买订阅,369,11754.93
4/7/2026,会员延期,22,2601.67
4/7/2026,购买钻石,7,15.93
4/7/2026,购买消息,555,12533.45
4/7/2026,Pro畅聊包,50,2779.5
4/7/2026,续费订阅,500,12659.02
4/7/2026,会员畅聊组合包,13,729.83
4/7/2026,成人认证,15,14.85
4/6/2026,续费订阅,610,14443.39
4/6/2026,折扣订阅,6,82.54
4/6/2026,会员畅聊组合包,27,5483.33
4/6/2026,成人认证,15,14.85
4/6/2026,会员延期,15,2232.74
4/6/2026,购买钻石,2,10.98
4/6/2026,Pro畅聊包,55,2199.45
4/6/2026,购买消息,621,13459.61
4/6/2026,购买订阅,393,12081.19
4/6/2026,购买消息扩容,286,4987.74
4/6/2026,升级订阅,94,2513.88
4/5/2026,续费订阅,981,23488.58
4/5/2026,成人认证,18,17.82
4/5/2026,会员延期,18,1044.27
4/5/2026,购买钻石,3,11.97
4/5/2026,Pro畅聊包,57,2539.43
4/5/2026,会员畅聊组合包,14,1345.8
4/5/2026,购买消息,604,13695.33
4/5/2026,购买消息扩容,251,4632.28
4/5/2026,购买订阅,344,11208.97
4/5/2026,升级订阅,124,3394.42
4/4/2026,会员延期,22,848.67
4/4/2026,Pro畅聊包,67,3459.33
4/4/2026,购买消息,603,13980.37
4/4/2026,购买钻石,3,11.97
4/4/2026,续费订阅,447,11971.14
4/4/2026,购买消息扩容,222,3833.78
4/4/2026,成人认证,22,21.78
4/4/2026,折扣订阅,2,8.38
4/4/2026,升级订阅,104,2339.35
4/4/2026,会员畅聊组合包,17,1374.63
4/4/2026,购买订阅,345,10424.57
4/3/2026,会员延期,32,1563.46
4/3/2026,Pro畅聊包,67,4499.33
4/3/2026,购买消息,627,14175.43
4/3/2026,购买消息扩容,233,3699.7
4/3/2026,购买钻石,1,4.99
4/3/2026,续费订阅,597,15087.82
4/3/2026,成人认证,18,17.82
4/3/2026,升级订阅,111,4422.02
4/3/2026,购买订阅,394,11659.92
4/3/2026,会员畅聊组合包,8,1509.88
4/2/2026,购买订阅,375,11782.32
4/2/2026,会员畅聊组合包,23,2814.39
4/2/2026,升级订阅,100,3659.95
4/2/2026,续费订阅,494,12526.36
4/2/2026,成人认证,20,19.8
4/2/2026,折扣订阅,1,4.19
4/2/2026,会员延期,22,929.56
4/2/2026,购买消息,623,14376.35
4/2/2026,Pro畅聊包,50,2259.5
4/2/2026,购买消息扩容,250,4287.47
4/2/2026,购买钻石,2,10.98
4/1/2026,购买订阅,379,13088.26
4/1/2026,升级订阅,146,3821
4/1/2026,会员畅聊组合包,21,1325.65
4/1/2026,续费订阅,493,13927.72
4/1/2026,成人认证,16,15.84
4/1/2026,购买消息扩容,244,4161.59
4/1/2026,折扣订阅,1,4.19
4/1/2026,会员延期,24,3134.65
4/1/2026,购买消息,565,12998.36
4/1/2026,Pro畅聊包,53,2899.47
4/1/2026,购买钻石,3,20.97
3/31/2026,成人认证,15,14.85
3/31/2026,折扣订阅,1,4.19
3/31/2026,续费订阅,520,11699.14
3/31/2026,Pro畅聊包,57,2279.43
3/31/2026,购买消息,608,13768.36
3/31/2026,购买钻石,3,15.97
3/31/2026,会员畅聊组合包,13,749.82
3/31/2026,会员延期,22,3600.45
3/31/2026,购买订阅,328,14425.04
3/31/2026,购买消息扩容,231,3983.83
3/31/2026,升级订阅,86,2706.11
3/30/2026,成人认证,17,16.83
3/30/2026,折扣订阅,1,4.19
3/30/2026,会员畅聊组合包,16,939.77
3/30/2026,续费订阅,713,17478.16
3/30/2026,Pro畅聊包,56,2759.44
3/30/2026,购买消息,624,15211.35
3/30/2026,购买钻石,12,114.88
3/30/2026,会员延期,14,729.64
3/30/2026,购买订阅,312,10842.31
3/30/2026,购买消息扩容,234,3940.69
3/30/2026,升级订阅,124,4201.4
3/29/2026,购买消息扩容,222,3958.79
3/29/2026,升级订阅,84,1706.21
3/29/2026,购买订阅,343,11520.75
3/29/2026,购买消息,520,11226.3
3/29/2026,Pro畅聊包,41,1899.59
3/29/2026,购买钻石,2,5.98
3/29/2026,会员延期,7,347.6
3/29/2026,成人认证,17,16.83
3/29/2026,会员畅聊组合包,12,739.81
3/29/2026,续费订阅,225,5476.29
3/28/2026,升级订阅,125,5656.94
3/28/2026,购买订阅,374,10142.09
3/28/2026,购买消息扩容,243,4206.53
3/28/2026,购买消息,517,12012.47
3/28/2026,Pro畅聊包,51,2559.49
3/28/2026,会员畅聊组合包,15,1415.78
3/28/2026,购买钻石,1,0.99
3/28/2026,会员延期,13,1531.65
3/28/2026,成人认证,14,13.86
3/28/2026,折扣订阅,1,27.99
3/28/2026,续费订阅,385,11872.1
3/27/2026,购买订阅,363,9737.4
3/27/2026,会员畅聊组合包,14,1129.78
3/27/2026,升级订阅,110,4228.42
3/27/2026,购买消息扩容,219,3514.01
3/27/2026,折扣订阅,1,27.99
3/27/2026,成人认证,9,8.91
3/27/2026,续费订阅,404,10543.86
3/27/2026,购买钻石,6,27.94
3/27/2026,购买消息,540,11527.36
3/27/2026,Pro畅聊包,65,3899.35
3/27/2026,会员延期,17,1201.83
3/26/2026,会员畅聊组合包,13,925.77
3/26/2026,购买订阅,398,13185.68
3/26/2026,升级订阅,117,3698.39
3/26/2026,折扣订阅,1,13.99
3/26/2026,成人认证,13,12.87
3/26/2026,续费订阅,441,11337.79
3/26/2026,购买消息扩容,252,4702.35
3/26/2026,购买钻石,5,25.95
3/26/2026,购买消息,561,12126.46
3/26/2026,Pro畅聊包,62,2999.38
3/26/2026,会员延期,19,1212.81
3/25/2026,购买消息扩容,263,4765.2
3/25/2026,购买钻石,1,0.99
3/25/2026,Pro畅聊包,52,2599.48
3/25/2026,购买消息,597,13265.22
3/25/2026,会员延期,22,1930.45
3/25/2026,成人认证,16,15.84
3/25/2026,续费订阅,440,11881.15
3/25/2026,升级订阅,85,4392.66
3/25/2026,购买订阅,332,11707.03
3/25/2026,会员畅聊组合包,15,849.8
3/24/2026,购买钻石,1,9.99
3/24/2026,Pro畅聊包,46,1839.54
3/24/2026,购买消息,548,11829.44
3/24/2026,会员延期,18,3314.6
3/24/2026,购买消息扩容,243,3745.53
3/24/2026,成人认证,18,17.82
3/24/2026,续费订阅,366,8607.17
3/24/2026,会员畅聊组合包,16,911.78
3/24/2026,升级订阅,110,3485.07
3/24/2026,购买订阅,315,10533.26
3/23/2026,升级订阅,102,2694.28
3/23/2026,购买消息扩容,270,4320.03
3/23/2026,购买订阅,326,8357.01
3/23/2026,会员延期,14,1007.75
3/23/2026,会员畅聊组合包,13,1795.81
3/23/2026,购买消息,569,12533.57
3/23/2026,Pro畅聊包,42,2199.58
3/23/2026,购买钻石,13,97.87
3/23/2026,续费订阅,383,9528.16
3/23/2026,成人认证,16,15.84
3/23/2026,折扣订阅,3,71.37
3/22/2026,购买消息扩容,241,4025.52
3/22/2026,升级订阅,109,4868.46
3/22/2026,购买订阅,365,10106.57
3/22/2026,会员延期,24,2052.54
3/22/2026,购买消息,574,13108.45
3/22/2026,Pro畅聊包,44,1759.56
3/22/2026,购买钻石,3,15.97
3/22/2026,续费订阅,410,10157.3
3/22/2026,会员畅聊组合包,17,3039.75
3/22/2026,成人认证,14,13.86
3/22/2026,折扣订阅,3,22.37
3/21/2026,续费订阅,561,14140.15
3/21/2026,会员畅聊组合包,14,775.82
3/21/2026,成人认证,13,12.87
3/21/2026,会员延期,19,1112.59
3/21/2026,Pro畅聊包,25,1519.75
3/21/2026,购买消息,522,11684.35
3/21/2026,购买钻石,3,10.97
3/21/2026,购买订阅,334,9691.32
3/21/2026,购买消息扩容,232,3898.68
3/21/2026,升级订阅,86,2474.94
3/20/2026,续费订阅,516,12468.57
3/20/2026,成人认证,14,13.86
3/20/2026,折扣订阅,1,4.19
3/20/2026,会员延期,16,1147.73
3/20/2026,会员畅聊组合包,11,1399.63
3/20/2026,Pro畅聊包,55,3759.45
3/20/2026,购买消息,538,11880.41
3/20/2026,购买消息扩容,239,4322.6
3/20/2026,购买订阅,370,11813.91
3/20/2026,升级订阅,96,3169.12
3/19/2026,会员延期,14,1125.75
3/19/2026,购买钻石,4,11.96
3/19/2026,Pro畅聊包,60,3699.4
3/19/2026,购买消息,526,11981.31
3/19/2026,购买消息扩容,252,4523.34
3/19/2026,续费订阅,513,12727.39
3/19/2026,折扣订阅,1,13.99
3/19/2026,成人认证,14,13.86
3/19/2026,会员畅聊组合包,9,549.86
3/19/2026,升级订阅,106,4627.24
3/19/2026,购买订阅,372,10075.9
3/18/2026,会员延期,11,1124.78
3/18/2026,购买消息扩容,227,4085.7
3/18/2026,Pro畅聊包,56,2239.44
3/18/2026,购买消息,502,11616.5
3/18/2026,续费订阅,458,11062.49
3/18/2026,成人认证,11,10.89
3/18/2026,升级订阅,96,3603.32
3/18/2026,会员畅聊组合包,19,2369.49
3/18/2026,购买订阅,332,10367.26
3/17/2026,会员畅聊组合包,9,1380.77
3/17/2026,购买订阅,368,10846.34
3/17/2026,升级订阅,128,3703.58
3/17/2026,续费订阅,465,11775.38
3/17/2026,成人认证,16,15.84
3/17/2026,购买消息扩容,228,4002.7
3/17/2026,会员延期,19,972.7
3/17/2026,购买钻石,3,14.97
3/17/2026,购买消息,491,11047.58
3/17/2026,Pro畅聊包,54,2679.46
3/16/2026,购买订阅,405,12676.62
3/16/2026,会员畅聊组合包,15,1234.67
3/16/2026,升级订阅,111,2845.17
3/16/2026,购买消息扩容,248,4457.22
3/16/2026,续费订阅,500,11804.14
3/16/2026,折扣订阅,4,74.16
3/16/2026,成人认证,21,20.79
3/16/2026,会员延期,11,1663.78
3/16/2026,购买钻石,2,10.98
3/16/2026,购买消息,578,12919.44
3/16/2026,Pro畅聊包,53,2119.47
3/15/2026,会员畅聊组合包,8,479.88
3/15/2026,成人认证,13,12.87
3/15/2026,续费订阅,506,12272.47
3/15/2026,购买钻石,5,21.95
3/15/2026,Pro畅聊包,59,3139.41
3/15/2026,购买消息,578,12906.43
3/15/2026,会员延期,9,400.91
3/15/2026,购买订阅,365,14899.76
3/15/2026,升级订阅,120,5186.03
3/15/2026,购买消息扩容,253,4139.29
3/14/2026,成人认证,13,12.87
3/14/2026,续费订阅,473,11265.13
3/14/2026,会员畅聊组合包,8,479.88
3/14/2026,购买钻石,20,172.8
3/14/2026,Pro畅聊包,60,2659.4
3/14/2026,购买消息,521,11080.54
3/14/2026,会员延期,18,909.6
3/14/2026,购买消息扩容,239,4415.63
3/14/2026,购买订阅,358,11645.53
3/14/2026,升级订阅,99,3962.61
3/13/2026,升级订阅,112,4622.73
3/13/2026,购买消息扩容,256,4676.39
3/13/2026,购买订阅,385,12979.74
3/13/2026,购买钻石,2,10.98
3/13/2026,会员畅聊组合包,10,984.76
3/13/2026,购买消息,549,12310.44
3/13/2026,Pro畅聊包,60,2659.4
3/13/2026,会员延期,19,1375.81
3/13/2026,成人认证,16,15.84
3/13/2026,续费订阅,480,11014.33
3/12/2026,购买消息扩容,265,4785.17
3/12/2026,升级订阅,111,2960.36
3/12/2026,购买订阅,375,15281.59
3/12/2026,购买钻石,1,4.99
3/12/2026,购买消息,479,10736.5
3/12/2026,Pro畅聊包,52,2339.48
3/12/2026,会员延期,12,695.77
3/12/2026,会员畅聊组合包,6,704.8
3/12/2026,成人认证,18,17.82
3/12/2026,续费订阅,652,15508.69
3/11/2026,购买订阅,398,13254.82
3/11/2026,会员畅聊组合包,11,585.87
3/11/2026,升级订阅,119,3625.61
3/11/2026,成人认证,15,14.85
3/11/2026,折扣订阅,1,4.19
3/11/2026,续费订阅,457,12389.58
3/11/2026,购买消息,555,12217.41
3/11/2026,Pro畅聊包,58,2839.42
3/11/2026,购买钻石,7,14.93
3/11/2026,购买消息扩容,258,4993.37
3/11/2026,会员延期,21,929.68
3/10/2026,购买订阅,385,11664.43
3/10/2026,升级订阅,107,3881.27
3/10/2026,会员畅聊组合包,8,479.88
3/10/2026,成人认证,12,11.88
3/10/2026,购买消息扩容,236,4455.67
3/10/2026,续费订阅,488,12543.65
3/10/2026,购买消息,530,11000.5
3/10/2026,Pro畅聊包,59,2619.41
3/10/2026,购买钻石,1,4.99
3/10/2026,会员延期,21,1174.68
3/9/2026,Pro畅聊包,68,3759.32
3/9/2026,购买消息,538,11616.46
3/9/2026,购买钻石,2,10.98
3/9/2026,会员延期,17,760.5
3/9/2026,成人认证,14,13.86
3/9/2026,购买消息扩容,253,4131.36
3/9/2026,续费订阅,548,13598.08
3/9/2026,升级订阅,128,4337.06
3/9/2026,会员畅聊组合包,14,835.79
3/9/2026,购买订阅,427,15077.28
3/8/2026,Pro畅聊包,46,2359.54
3/8/2026,购买消息,494,11666.56
3/8/2026,购买钻石,3,15.97
3/8/2026,购买消息扩容,241,3913.53
3/8/2026,会员延期,14,2459.75
3/8/2026,成人认证,16,15.84
3/8/2026,续费订阅,531,13262.59
3/8/2026,升级订阅,98,4700.78
3/8/2026,会员畅聊组合包,4,219.95
3/8/2026,购买订阅,354,12734.96
3/7/2026,购买消息扩容,241,4071.52
3/7/2026,升级订阅,103,5044.32
3/7/2026,购买订阅,376,11952.68
3/7/2026,会员延期,22,1174.23
3/7/2026,购买钻石,5,26.95
3/7/2026,购买消息,487,10825.42
3/7/2026,Pro畅聊包,49,2219.51
3/7/2026,会员畅聊组合包,17,1719.52
3/7/2026,续费订阅,640,14777.6
3/7/2026,成人认证,17,16.83
3/6/2026,升级订阅,116,3777.81
3/6/2026,购买消息扩容,209,3753.13
3/6/2026,购买订阅,442,12981.5
3/6/2026,会员畅聊组合包,15,1234.67
3/6/2026,会员延期,24,1356.32
3/6/2026,购买钻石,2,10.98
3/6/2026,购买消息,516,11861.51
3/6/2026,Pro畅聊包,59,2359.41
3/6/2026,续费订阅,1634,36950.75
3/6/2026,成人认证,14,13.86
3/5/2026,续费订阅,415,9621.43
3/5/2026,成人认证,19,18.81
3/5/2026,会员畅聊组合包,13,1094.71
3/5/2026,会员延期,18,1791.6
3/5/2026,购买钻石,1,9.99
3/5/2026,Pro畅聊包,67,3459.33
3/5/2026,购买消息,476,11087.34
3/5/2026,购买消息扩容,237,3987.63
3/5/2026,购买订阅,420,15708.13
3/5/2026,升级订阅,121,6004.94
3/4/2026,会员畅聊组合包,28,2117.62
3/4/2026,续费订阅,809,20423.99
3/4/2026,成人认证,12,11.88
3/4/2026,会员延期,19,3490.59
3/4/2026,购买钻石,8,24.92
3/4/2026,Pro畅聊包,68,3759.32
3/4/2026,购买消息,514,11018.42
3/4/2026,购买订阅,411,14764.27
3/4/2026,购买消息扩容,233,4218.58
3/4/2026,升级订阅,110,4709.01
3/3/2026,购买消息扩容,218,3960.87
3/3/2026,会员延期,23,1380.55
3/3/2026,Pro畅聊包,44,2539.56
3/3/2026,购买消息,527,11201.48
3/3/2026,购买钻石,2,19.98
3/3/2026,续费订阅,370,9457.86
3/3/2026,成人认证,14,13.86
3/3/2026,升级订阅,118,3028.52
3/3/2026,会员畅聊组合包,19,1442.62
3/3/2026,购买订阅,399,12056.24
3/2/2026,会员延期,22,4293.35
3/2/2026,Pro畅聊包,57,2799.43
3/2/2026,购买消息,558,11797.3
3/2/2026,购买钻石,2,10.98
3/2/2026,续费订阅,433,10598.09
3/2/2026,购买消息扩容,245,3894.36
3/2/2026,成人认证,18,17.82
3/2/2026,会员畅聊组合包,23,1325.68
3/2/2026,升级订阅,101,3088.97
3/2/2026,购买订阅,424,15191.7
3/1/2026,购买订阅,486,19544.68
3/1/2026,会员畅聊组合包,19,1450.62
3/1/2026,升级订阅,106,4015.06
3/1/2026,续费订阅,415,10098.92
3/1/2026,购买消息扩容,255,4350.29
3/1/2026,成人认证,16,15.84
3/1/2026,会员延期,27,1799.4
3/1/2026,购买消息,539,12021.41
3/1/2026,Pro畅聊包,55,3239.45
2/28/2026,会员畅聊组合包,22,1355.65
2/28/2026,购买订阅,567,19317.25
2/28/2026,升级订阅,122,4141.1
2/28/2026,续费订阅,875,21213.66
2/28/2026,成人认证,12,11.88
2/28/2026,购买消息扩容,237,3827.65
2/28/2026,会员延期,31,1750.36
2/28/2026,购买消息,550,11522.39
2/28/2026,Pro畅聊包,77,3339.23
2/28/2026,购买钻石,4,21.96
2/27/2026,升级订阅,156,5095.08
2/27/2026,会员畅聊组合包,15,1351.81
2/27/2026,购买订阅,445,14723.2
2/27/2026,会员延期,39,2764.17
2/27/2026,购买钻石,4,20.96
2/27/2026,Pro畅聊包,49,2219.51
2/27/2026,购买消息,576,13003.28
2/27/2026,续费订阅,550,13082.04
2/27/2026,购买消息扩容,264,4700.3
2/27/2026,成人认证,13,12.87
2/26/2026,升级订阅,119,2805.93
2/26/2026,购买订阅,501,16185.51
2/26/2026,会员畅聊组合包,19,1855.48
2/26/2026,会员延期,18,1721.6
2/26/2026,购买消息扩容,262,4875.37
2/26/2026,购买钻石,1,0.99
2/26/2026,Pro畅聊包,54,2939.46
2/26/2026,购买消息,602,13756.3
2/26/2026,续费订阅,297,7176.14
2/26/2026,成人认证,14,13.86
2/25/2026,续费订阅,322,8303.81
2/25/2026,成人认证,20,19.8
2/25/2026,会员延期,27,2325.29
2/25/2026,购买消息扩容,255,3996.35
2/25/2026,购买钻石,7,15.93
2/25/2026,购买消息,555,12827.34
2/25/2026,Pro畅聊包,46,2619.54
2/25/2026,购买订阅,445,14860.97
2/25/2026,会员畅聊组合包,13,1094.71
2/25/2026,升级订阅,108,4111.71
2/24/2026,续费订阅,300,7176.85
2/24/2026,购买消息扩容,267,4241.18
2/24/2026,成人认证,15,14.85
2/24/2026,会员延期,20,702.69
2/24/2026,购买钻石,4,3.96
2/24/2026,购买消息,573,12433.29
2/24/2026,Pro畅聊包,68,3499.32
2/24/2026,购买订阅,401,13567.52
2/24/2026,升级订阅,118,3068.14
2/24/2026,会员畅聊组合包,12,699.83
2/23/2026,会员延期,20,1560.14
2/23/2026,购买消息,576,12797.26
2/23/2026,Pro畅聊包,52,2599.48
2/23/2026,会员畅聊组合包,13,729.83
2/23/2026,购买钻石,7,19.93
2/23/2026,续费订阅,298,7691.49
2/23/2026,成人认证,16,15.84
2/23/2026,升级订阅,121,3184.73
2/23/2026,购买订阅,403,14685.4
2/23/2026,购买消息扩容,265,4442.06
2/22/2026,会员延期,22,1018.67
2/22/2026,购买消息,592,12739.39
2/22/2026,Pro畅聊包,59,2879.41
2/22/2026,购买钻石,2,5.98
2/22/2026,续费订阅,328,7762.89
2/22/2026,成人认证,20,19.8
2/22/2026,会员畅聊组合包,13,809.79
2/22/2026,购买消息扩容,277,4275.95
2/22/2026,升级订阅,114,3340.97
2/22/2026,购买订阅,389,13644.23
2/21/2026,购买订阅,399,11818.59
2/21/2026,购买消息扩容,229,3584.71
2/21/2026,升级订阅,106,4309.4
2/21/2026,续费订阅,344,8683.43
2/21/2026,成人认证,18,17.82
2/21/2026,会员畅聊组合包,15,869.79
2/21/2026,会员延期,10,863.79
2/21/2026,Pro畅聊包,57,3839.43
2/21/2026,购买消息,553,12350.39
2/21/2026,购买钻石,2,10.98
2/20/2026,购买订阅,367,11271.52
2/20/2026,购买消息扩容,273,4579.14
2/20/2026,升级订阅,116,4665.8
2/20/2026,续费订阅,281,6594.18
2/20/2026,成人认证,21,20.79
2/20/2026,会员延期,20,2281.58
2/20/2026,Pro畅聊包,65,3899.35
2/20/2026,购买消息,570,12629.35
2/20/2026,会员畅聊组合包,12,1554.71
2/20/2026,购买钻石,2,1.98
2/19/2026,成人认证,15,14.85
2/19/2026,购买消息扩容,274,4445.18
2/19/2026,续费订阅,471,10722.64
2/19/2026,购买钻石,1,0.99
2/19/2026,购买消息,539,11831.3
2/19/2026,Pro畅聊包,45,2839.55
2/19/2026,会员延期,12,962.77
2/19/2026,购买订阅,324,10406.41
2/19/2026,升级订阅,119,4529.52
2/19/2026,会员畅聊组合包,12,675.84
2/18/2026,成人认证,10,9.9
2/18/2026,续费订阅,508,13476.93
2/18/2026,购买钻石,5,12.95
2/18/2026,购买消息,470,10072.54
2/18/2026,Pro畅聊包,61,2959.39
2/18/2026,会员延期,15,1219.63
2/18/2026,购买消息扩容,270,4338.1
2/18/2026,购买订阅,326,10236.31
2/18/2026,会员畅聊组合包,14,815.8
2/18/2026,升级订阅,124,5760.27
2/17/2026,升级订阅,116,2808.49
2/17/2026,购买订阅,336,9609.56
2/17/2026,会员畅聊组合包,12,1285.8
2/17/2026,购买钻石,1,9.99
2/17/2026,Pro畅聊包,51,3079.49
2/17/2026,购买消息,495,10186.55
2/17/2026,会员延期,13,879.43
2/17/2026,购买消息扩容,253,4257.48
2/17/2026,成人认证,23,22.77
2/17/2026,续费订阅,449,11985.9
2/16/2026,升级订阅,134,4956.86
2/16/2026,会员畅聊组合包,9,1079.86
2/16/2026,购买订阅,327,8453.29
2/16/2026,购买钻石,4,16.96
2/16/2026,Pro畅聊包,43,2749.57
2/16/2026,购买消息,445,9493.47
2/16/2026,会员延期,14,839.64
2/16/2026,成人认证,17,16.83
2/16/2026,购买消息扩容,247,4463.43
2/16/2026,续费订阅,467,11801.19
